Zipcode,Total_Population,Men,Women,Under_5_Years,5_to_9_Years,10_to_14_Years,15_to_19_Years,20_to_24_Years,25_to_34_Years,35_to_44_Years,45_to_54_Years,55_to_59_Years,60_to_64_Years,65_to_74_Years,75_to_84_Years,85_Years_and_Over,Median_age_(years),Hispanic_%,White_%,Black_%,Native_Indian_%,Asian_%,Pacific_Islander_%,Other_Ethnicity_%,Total_Housing_Units,Citizen,Citizen_Male_%,Citizen_Female_%,Median_Household_Income,Mean_Household_Income,Income_Per_Capita,Median_Earnings_for_Workers,Median_Earnings_for_Male_Full-time_Workers,Median_Earnings_for_Female_Full-time_Workers,%_of_Families_and_People_Whose_Income_in_the_Past_12_Months_is_Below_the_Poverty_Level,%_of_Families_and_People_Whose_Income_in_the_Past_12_Months_is_Below_the_Poverty_Level_Under_18_Years_Old,%_of_Families_and_People_Whose_Income_in_the_Past_12_Months_is_Below_the_Poverty_Level_18_Years_Old_and_Over,%_of_Families_and_People_Whose_Income_in_the_Past_12_Months_is_Below_the_Poverty_Level_18_to_64_Years,%_of_Families_and_People_Whose_Income_in_the_Past_12_Months_is_Below_the_Poverty_Level_65_Years_and_Over,Management_Business_Science_and_Arts_Occupations_%,Service_Occupations_%,Sales_and_Office_Occupations_%,Natural_Resources_Construction_and_Maintenance_Occupations_%,Production_Transportation_and_Material_Moving_Occupations_%,Drive_%,Carpool_%,Public_Transportation_%,Walk_%,Other_Transporation_%,Work_At_Home_%,Average_Commute_Time_in_Minutes,Employed,Private_Wage_and_Salary_Workers_%,Government_Workers_%,Self_Employed_%,Unpaid_Family_Workers_%,Unemployment_Rate
98031,36390,18233,18157,2232,2215,2153,3075,3084,5171,4847,5657,2083,1963,2369,1173,368,35.8,12,47.2,9.6,0.4,23.6,1.4,0.3,12676,23018,49.1,50.9,67793,80105,27476,32644,52831,39568,11.1,16.8,9.3,9.3,9.3,30.4,21,24.9,8.1,15.5,75.8,11.4,6.9,1,1.3,3.7,30.7,17983,81.5,13.2,5.1,0.2,8.8
98032,36368,18318,18050,2898,2699,2096,2080,3351,6338,5400,4567,1978,1836,1973,787,365,33,27.5,40.1,10,1,12.5,3.4,0.3,14675,22023,50.4,49.6,49591,64172,25358,30917,45458,35607,16.4,20.8,14.9,15.7,8.7,27.7,20.5,25.1,11.5,15.2,69.2,15.2,8,2.6,3,2,32.1,17036,84.2,10.8,4.8,0.1,8.7
98033,36105,17681,18424,2072,2100,1999,2040,1679,5593,5717,5544,2941,1903,2711,1226,580,39.4,5.7,76.6,1.1,0.3,12,0.1,0.1,16640,24957,48.5,51.5,105449,140627,61244,61976,102946,65762,5.3,4.5,5.5,5.6,5,62.5,10.6,20,3.2,3.7,71.7,6.9,8,2.7,2,8.6,23.6,19304,85.3,8.5,6.1,0,6.1
98034,42590,20625,21965,3062,2315,2267,1912,2298,8184,6107,6378,2789,2184,3135,1337,622,36.8,8.4,70,1.1,0.4,15.3,0.1,0.2,18001,29700,48.4,51.6,81694,102856,42715,44834,73250,52411,6.8,6,7.1,7.2,6.4,53.3,15.2,20.4,4.6,6.5,71.8,10,9.1,2,2,5.2,27.8,23454,84.3,9.2,6.4,0,6.8
98038,34362,16979,17383,2314,3101,2762,2504,1139,3358,5671,5977,2784,1554,2094,747,357,38.7,5.3,82.8,2.3,0.3,4.5,0,0.1,12545,23877,49,51,96134,107851,38031,53545,77341,58224,5.7,5.7,5.7,5.7,5.9,43.6,12.6,26,8.5,9.3,80,9.5,2.8,0.9,1.1,5.7,36.6,16520,79.4,16.5,4,0.1,8.2
98039,3120,1530,1590,115,253,352,303,98,16,397,530,247,241,310,185,73,45.4,1.2,73.7,0.5,0,18.4,0,0.7,1266,1989,46.4,53.6,174063,278320,96796,null,null,null,5.7,6.5,5.3,6.3,2.6,75.2,2.9,19,1.6,1.2,80.7,8.4,3.7,1,1.2,4.9,19.8,1057,81,9.5,9.1,0.5,2.4
98040,24120,11742,12378,1128,1790,2135,1259,669,1980,2981,3708,2046,1710,2360,1387,967,45.3,3.2,74.2,1.8,0,17.4,0.2,0,10179,16890,47.6,52.4,126106,187391,74808,72204,130725,78875,4.5,3.3,5,4.7,5.7,73.1,6.4,16.6,1.5,2.4,71.2,7.2,7.4,1.7,2.2,10.3,23.2,10585,80.2,10.6,9.1,0.1,5.1
98042,44894,22431,22463,2592,2740,3266,3175,2082,6075,6245,7077,3734,2884,3332,1292,400,39.3,7.7,73,4.5,0.5,9.3,0.9,0.1,16573,32177,50.5,49.5,89352,102333,36622,44267,66633,49050,6.6,9.5,5.7,5.4,7.5,37.1,11.9,29.6,6.8,14.5,79.4,10.7,3.8,0.7,0.9,4.5,32.6,23934,81,14.9,3.9,0.2,5.7
98045,14635,7552,7083,970,1178,1038,908,414,1470,2461,2556,1116,1189,870,382,83,41.1,6.1,89,1.6,0,0.9,0,0,5848,10390,50.3,49.7,93380,114017,44104,48227,78907,51810,9,15.4,6.8,7,5.2,44.8,16,23,5.8,10.4,73.2,12.7,1.4,1.2,2.2,9.3,30.7,7906,81.1,14.4,4.3,0.1,4.1
98052,62216,31978,30238,4738,4182,3649,2484,3287,13326,11048,7452,3241,2889,3304,1589,1027,34.6,9.3,56.5,1.6,0.1,29,0.2,0.1,26354,33430,49.8,50.2,106468,130379,52762,61294,105113,61086,6.8,7.3,6.6,6.2,9.3,63.8,11.3,16.7,2.9,5.2,71.2,10.2,8.1,3.8,1.9,4.9,21.6,32915,88.3,7.1,4.6,0,5.1
