lat_group,long_group,lat+long_group,
47.50560625,-122.253,"47.50560625000008,-122.2529999999999",
47.49450446,-122.309,"47.4945044642858,-122.3089999999999",
47.58331875,-122.281,"47.5833187500001,-122.2809999999999",
47.77204911,-122.393,"47.772049107143,-122.393",
47.72764196,-122.225,"47.72764196428585,-122.2249999999999",
47.70543839,-122.365,"47.70543839285727,-122.365",
47.52780982,-122.253,"47.52780982142866,-122.2529999999999",
47.69433661,-122.085,"47.69433660714299,-122.0849999999999",
47.61662411,-122.225,"47.61662410714297,-122.2249999999999",
47.31687589,-122.393,"47.31687589285718,-122.393",
47.52780982,-121.861,"47.52780982142866,-121.8609999999998",
47.27246875,-122.141,"47.27246875000003,-122.1409999999999",
47.55001339,-122.001,"47.55001339285724,-122.0009999999999",
47.32797768,-122.309,"47.32797767857147,-122.3089999999999",
47.77204911,-122.253,"47.772049107143,-122.2529999999999",
47.57221696,-122.141,"47.57221696428581,-122.1409999999999",
47.46119911,-122.169,"47.46119910714293,-122.1689999999999",
47.71654018,-122.365,"47.71654017857156,-122.365",
47.55001339,-122.169,"47.55001339285724,-122.1689999999999",
47.73874375,-122.029,"47.73874375000014,-122.0289999999999",
47.52780982,-121.945,"47.52780982142866,-121.9449999999999",
47.38348661,-122.281,"47.38348660714291,-122.2809999999999",
47.64992946,-122.365,"47.64992946428583,-122.365",
47.56111518,-122.169,"47.56111517857153,-122.1689999999999",
47.20585804,-122.001,"47.2058580357143,-122.0009999999999",
47.47230089,-122.113,"47.47230089285722,-122.1129999999999",
47.48340268,-122.337,"47.48340267857151,-122.3369999999999",
47.71654018,-122.197,"47.71654017857156,-122.1969999999999",
47.60552232,-122.029,"47.60552232142868,-122.0289999999999",
47.46119911,-122.029,"47.46119910714293,-122.0289999999999",
47.71654018,-122.169,"47.71654017857156,-122.1689999999999",
47.40569018,-122.337,"47.40569017857149,-122.3369999999999",
47.56111518,-122.113,"47.56111517857153,-122.1129999999999",
47.70543839,-122.225,"47.70543839285727,-122.2249999999999",
47.74984554,-122.337,"47.74984553571443,-122.3369999999999",
47.47230089,-122.337,"47.47230089285722,-122.3369999999999",
47.76094732,-122.337,"47.76094732142872,-122.3369999999999",
47.60552232,-122.309,"47.60552232142868,-122.3089999999999",
47.58331875,-122.309,"47.5833187500001,-122.3089999999999",
47.19475625,-122.001,"47.19475625000001,-122.0009999999999",
47.53891161,-122.365,"47.53891160714295,-122.365",
47.70543839,-122.197,"47.70543839285727,-122.1969999999999",
47.38348661,-122.029,"47.38348660714291,-122.0289999999999",
47.69433661,-122.113,"47.69433660714299,-122.1129999999999",
