lat+long_group,Number of Predatory Lenders
"47.5833187500001,-122.1969999999999",0
"47.33907946428576,-122.2529999999999",0
"47.62772589285726,-122.2249999999999",0
"47.64992946428583,-122.1689999999999",0
"47.73874375000014,-122.1689999999999",0
"47.71654017857156,-122.2809999999999",0
"47.36128303571434,-122.0289999999999",0
"47.35018125000005,-122.0849999999999",0
"47.5833187500001,-122.0009999999999",0
"47.60552232142868,-122.1129999999999",0
"47.56111517857153,-122.393",0
"47.33907946428576,-122.0289999999999",0
"47.35018125000005,-122.0009999999999",0
"47.35018125000005,-122.0289999999999",0
"47.55001339285724,-122.2809999999999",0
"47.48340267857151,-122.1409999999999",0
"47.72764196428585,-122.3089999999999",0
"47.29467232142861,-122.1969999999999",0
"47.52780982142866,-122.1969999999999",0
"47.51670803571437,-122.1969999999999",0
"47.53891160714295,-122.393",0
"47.29467232142861,-122.365",0
"47.64992946428583,-122.393",0
"47.31687589285718,-122.365",0
"47.5833187500001,-122.2529999999999",0
"47.36128303571434,-122.2809999999999",0
"47.40569017857149,-121.9449999999999",0
"47.48340267857151,-121.7209999999998",0
"47.63882767857154,-122.3089999999999",0
"47.772049107143,-122.0849999999999",0
"47.43899553571435,-122.1969999999999",0
"47.43899553571435,-122.1409999999999",0
"47.38348660714291,-122.3089999999999",0
"47.72764196428585,-122.0849999999999",0
"47.63882767857154,-122.1129999999999",0
"47.6832348214287,-122.3369999999999",0
"47.55001339285724,-122.3089999999999",0
"47.31687589285718,-122.2529999999999",0
"47.50560625000008,-122.2529999999999",0
"47.4945044642858,-122.3089999999999",0
"47.5833187500001,-122.2809999999999",0
"47.772049107143,-122.393",0
"47.72764196428585,-122.2249999999999",0
"47.70543839285727,-122.365",0
"47.52780982142866,-122.2529999999999",0
"47.69433660714299,-122.0849999999999",0
"47.61662410714297,-122.2249999999999",0
"47.31687589285718,-122.393",0
"47.52780982142866,-121.8609999999998",0
"47.27246875000003,-122.1409999999999",0
"47.55001339285724,-122.0009999999999",0
"47.32797767857147,-122.3089999999999",1
